author,url,text,likes,comments,reposts,shares,total_engagement,primary_type,types,comment_rate,share_rate,source
muramoto.chen,https://www.threads.net/@muramoto.chen/post/DW0ahyTACey,"玩交友軟體之後發現一件事情

其實跟女人聊天其實有夠無聊

脆上女仔很喜歡說""不喜歡交友有目的性""

問題就是如果不是為了什麼目的，誰會跟妳們聊天..... 

大多數的女性並沒有一個有趣的靈魂啊

除了抱怨工作就是追星",618,99,0,0,717,C,C,16.0,0.0,apify_2026-04-07.json
cindy6527751,https://www.threads.net/@cindy6527751/post/DW0RLNXiWWm,"是吃飯不是被吃掉好嗎
難怪有越來越多的人對交友軟體失去信心",83,42,0,0,125,X,X,50.6,0.0,apify_2026-04-07.json
purr.purrzz,https://www.threads.net/@purr.purrzz/post/DWqt-auj4RI,"好不容易交友軟體聊起來感覺還不錯
隔天突然就換用小頭說話了",4736,145,0,0,4881,C,C,3.1,0.0,apify_2026-04-07.json
ga.jeng.ga,https://www.threads.net/@ga.jeng.ga/post/DWywfOtkloH,我上次也在交友軟體遇到一個女孩，我們聊了一個月，她也是像你圖片上那樣打了一長串，讓我又緊張又興奮，直到最後一行，她說想跟我吃飯，問我能不能去台北的林森北路買她晚上的時間🥲,279,4,0,0,283,E,E,1.4,0.0,apify_2026-04-07.json
xxy000999,https://www.threads.net/@xxy000999/post/DWsr3KzDkHy,"交友軟體10個有9個都詐騙
現在到底要怎麼認識男生啊？
（18~31歲）
會認真回的那種",37,8,0,0,45,X,X,21.6,0.0,apify_2026-04-07.json
siyu2004413,https://www.threads.net/@siyu2004413/post/DWOKYZQFBGu,"玩交友軟體真的有夠累
晚上無聊打開語音配對
結果配到一個醫學系的
19歲 大一
我就想說玩軟體要有底線不能亂聊
於是開始跟他講解剖學
一路講到凌晨兩點半",45161,428,0,0,45589,A,A,0.9,0.0,apify_2026-04-07.json
so.me.thought,https://www.threads.net/@so.me.thought/post/DWzA2ptCdqO,"媽媽生我養我咁大個唔係為咗比交友app第一次見的男問我
「你試下嗲我？」
「你係咪唔識嗲人？」

你老母我搵得比你多，你憑乜嘢要我見到你第一面同你示弱？我千辛萬苦被咁多人毒打過唔係為咗聽你呢句，why do I have to 嗲你？

ps佢叫自己banker，我再同大家重申一次，banker唔係每個人都可以叫的",2166,95,0,0,2261,E,E,4.4,0.0,apify_2026-04-07.json
kohistan346,https://www.threads.net/@kohistan346/post/DWvxXAkFByj,屌玩交友app玩到喪心病狂 1分鐘覆緊10幾個人訊息￼ 幾日做咗過百次自我介紹 包括自己身高體重 過往拍拖經驗 以及長遠計劃 我想識個正常嘅靚仔,228,16,0,0,244,X,X,7.0,0.0,apify_2026-04-07.json
im.miina.25,https://www.threads.net/@im.miina.25/post/DVtQmArkUzQ,交友app真係信唔過,240,64,0,0,304,E,E,26.7,0.0,apify_2026-04-07.json
9upac04,https://www.threads.net/@9upac04/post/DWfvoXCj8xj,"其實我係咪要用交友app🥹🥹
我真係唔想用",43,39,0,0,82,X,X,90.7,0.0,apify_2026-04-07.json
